"","�..Tipo","Bairro","Quartos","Vagas","Suites","Area","Valor","Condominio","IPTU"
"280","Apartamento","Recreio dos Bandeirantes",2,1,1,93,1400,1300,NA
"281","Apartamento","Freguesia (Jacarepaguá)",3,1,1,93,1800,650,95
"282","Apartamento","Barra da Tijuca",1,1,1,60,2200,1600,350
"283","Conjunto Comercial/Sala","Cidade Nova",0,20,0,2160,129600,60480,NA
"284","Apartamento","Taquara",2,2,0,55,790,350,NA
"285","Quitinete","Centro",1,0,0,33,990,463,25
"286","Apartamento","Copacabana",2,0,0,54,1800,590,NA
"287","Conjunto Comercial/Sala","Centro",0,10,0,1136,136370,22728,5682
"288","Casa Comercial","Glória",0,0,0,139,16740,1953,139
"289","Flat","Arpoador",1,1,1,55,3000,1865,337
"290","Apartamento","Catete",2,1,1,70,3300,1365,180
"291","Apartamento","Copacabana",5,1,3,390,10000,1000,1000
"292","Apartamento","Maracanã",2,1,0,53,1300,492,16
"293","Apartamento","Tomás Coelho",2,0,0,70,800,NA,NA
"294","Apartamento","Botafogo",1,0,0,35,1000,293,86
"295","Apartamento","Tijuca",3,1,0,164,3500,1310,257
"296","Apartamento","Jacarepaguá",2,1,1,60,1200,524,13
"297","Apartamento","Água Santa",2,1,0,50,850,280,12
"298","Apartamento","Botafogo",2,1,1,79,4315,1110,187
"299","Apartamento","Recreio dos Bandeirantes",2,1,1,80,1600,615,3
"300","Apartamento","Tijuca",1,0,0,36,1300,295,24
"301","Apartamento","Jardim Oceânico",4,4,3,190,5700,1069,808
"302","Apartamento","Freguesia (Jacarepaguá)",3,1,0,84,1500,900,NA
"303","Apartamento","São Cristóvão",2,0,0,50,1000,600,NA
"304","Quitinete","Copacabana",1,0,0,26,1400,370,21
"305","Loja/Salão","Recreio dos Bandeirantes",0,2,0,140,3990,1410,968
"306","Prédio Inteiro","Campo Grande",0,0,0,650,35000,NA,NA
"307","Casa de Condomínio","Barra da Tijuca",4,4,4,1000,30000,2695,23715
"308","Conjunto Comercial/Sala","Centro",0,0,0,120,3000,1380,507
"309","Apartamento","Ilha do Governador",3,1,0,83,1500,440,132
"310","Apartamento","Olaria",2,0,0,90,1000,150,NA
"311","Apartamento","Humaitá",1,0,0,57,3990,860,100
"312","Apartamento","Maracanã",3,1,0,95,2500,600,80
"313","Casa de Vila","Jardim Sulacap",2,1,2,115,1600,1,60
"314","Apartamento","Leblon",4,2,2,200,11000,2900,580
"315","Loja/Salão","Del Castilho",0,0,0,85,6500,NA,398
"316","Apartamento","Barra da Tijuca",2,1,1,63,1900,824,NA
"317","Apartamento","Gávea",2,1,1,100,3900,1300,320
"318","Apartamento","Ipanema",3,2,1,165,7500,2200,532
"319","Galpão/Depósito/Armazém","Santo Cristo",0,0,0,1096,12000,NA,1771
"320","Conjunto Comercial/Sala","Centro",0,0,0,145,3800,1400,413
"321","Apartamento","Ipanema",3,2,2,160,6000,3500,4600
"322","Conjunto Comercial/Sala","Flamengo",0,0,0,32,1300,400,NA
"323","Apartamento","Flamengo",1,1,0,48,2100,580,70
"324","Apartamento","Leblon",2,1,1,87,4800,1300,361
"325","Casa de Vila","Oswaldo Cruz",1,0,1,40,800,NA,NA
"326","Apartamento","Barra da Tijuca",3,1,1,105,2500,1400,1500
"327","Galpão/Depósito/Armazém","Bonsucesso",0,3,0,404,15000,NA,370
"328","Casa de Condomínio","Freguesia (Jacarepaguá)",2,1,0,163,1800,92,46
"329","Conjunto Comercial/Sala","Centro",0,0,0,87,3000,764,134
"330","Quitinete","Copacabana",1,0,0,30,1300,370,30
"331","Conjunto Comercial/Sala","Barra da Tijuca",0,9,0,190,10000,5503,1250
"332","Conjunto Comercial/Sala","Leblon",0,0,0,6,900,NA,NA
"333","Apartamento","Barra da Tijuca",3,1,1,80,3500,1410,270
"334","Conjunto Comercial/Sala","Centro",0,0,0,375,18750,6340,2349
"335","Apartamento","Botafogo",3,1,1,102,5100,1300,NA
"336","Apartamento","Gávea",3,0,1,120,2700,880,238
"337","Apartamento","Humaitá",2,2,1,112,4500,1300,NA
"338","Conjunto Comercial/Sala","Centro",0,0,0,34,1000,729,NA
"339","Conjunto Comercial/Sala","Centro",0,0,0,48,4500,885,380
"340","Apartamento","Vila da Penha",2,0,0,60,900,160,25
"341","Conjunto Comercial/Sala","Barra da Tijuca",0,2,0,80,5000,1100,3000
"342","Apartamento","Lagoa",1,1,0,75,2800,800,210
"343","Apartamento","Ipanema",3,1,1,125,7000,2100,463
"344","Conjunto Comercial/Sala","Leblon",0,0,0,120,20000,2400,616
"345","Prédio Inteiro","São Cristóvão",0,0,0,1408,24000,NA,NA
"346","Apartamento","Engenho Novo",2,0,0,53,1400,460,12
"347","Apartamento","Recreio dos Bandeirantes",3,3,1,132,2800,879,NA
"348","Loft","Barra da Tijuca",1,1,1,78,2700,1370,188
"349","Apartamento","Barra da Tijuca",2,2,1,86,3500,1307,NA
"350","Apartamento","Recreio dos Bandeirantes",2,1,1,80,1700,690,150
"351","Galpão/Depósito/Armazém","Campo Grande",0,3,0,300,6000,NA,NA
"352","Apartamento","Recreio dos Bandeirantes",4,2,2,200,3600,1177,320
"353","Conjunto Comercial/Sala","Recreio dos Bandeirantes",0,1,0,23,900,500,NA
"354","Galpão/Depósito/Armazém","Campo Grande",0,0,0,1000,8000,NA,NA
"355","Apartamento","Barra da Tijuca",2,1,1,77,2500,830,156
"356","Apartamento","Engenho Novo",1,1,0,63,700,625,36
"357","Conjunto Comercial/Sala","Centro",0,0,0,22,800,264,83
"358","Casa","Grajaú",5,4,2,450,7000,NA,500
"359","Apartamento","Barra da Tijuca",4,2,2,149,4500,2130,NA
"360","Apartamento","Recreio dos Bandeirantes",3,2,2,106,2500,780,248
"361","Conjunto Comercial/Sala","Botafogo",0,10,0,534,45000,14850,NA
"362","Apartamento","Anil",2,1,0,48,1100,400,NA
"363","Apartamento","Ipanema",4,1,2,250,12000,2300,1050
"364","Apartamento","Gávea",2,1,1,68,2700,850,186
"365","Apartamento","Barra da Tijuca",2,1,1,75,1400,1280,NA
"366","Loja/Salão","Vila Valqueire",0,0,0,30,1100,NA,NA
"367","Apartamento","Ipanema",2,1,1,97,7000,4000,4725
"368","Casa de Condomínio","Vargem Grande",2,2,1,90,1700,618,338
"369","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,72,2200,835,595
"370","Apartamento","Cachambi",3,0,0,70,900,200,30
"371","Quitinete","Leblon",1,0,0,30,1700,560,62
"372","Apartamento","Copacabana",4,2,1,279,3150,2025,370
"373","Casa","Tanque",2,1,0,59,1200,170,NA
"374","Box/Garagem","Centro",0,1,0,0,250,NA,85
"375","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,50,1600,870,406
"376","Apartamento","Laranjeiras",5,3,2,713,30000,3800,NA
"377","Conjunto Comercial/Sala","Botafogo",0,28,0,1510,211400,50902,8138
"378","Apartamento","Cachambi",2,1,0,70,950,530,30
"379","Casa","Campo Grande",3,0,0,200,2100,NA,NA
"380","Conjunto Comercial/Sala","Centro",0,0,0,254,10000,5600,NA
"381","Conjunto Comercial/Sala","Centro",0,0,0,24,600,386,119
"382","Apartamento","Recreio dos Bandeirantes",4,2,1,400,3500,800,500
"383","Conjunto Comercial/Sala","Centro",0,0,0,250,8000,4790,1160
"384","Conjunto Comercial/Sala","Del Castilho",0,1,0,29,1200,760,NA
"385","Apartamento","Recreio dos Bandeirantes",2,1,1,89,1800,884,170
"386","Apartamento","Maracanã",1,1,1,120,1000,985,150
"387","Apartamento","Recreio dos Bandeirantes",4,3,2,181,3500,1080,423
"388","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,22,750,399,52
"389","Apartamento","Tijuca",2,1,1,70,1500,890,68
"390","Conjunto Comercial/Sala","Santo Cristo",0,0,0,175,5250,1750,NA
"391","Casa de Condomínio","Barra da Tijuca",5,6,5,640,13800,980,1800
"392","Apartamento","Vaz Lobo",2,0,0,70,1000,32,NA
"393","Conjunto Comercial/Sala","Tijuca",0,0,0,150,7200,1700,481
"394","Conjunto Comercial/Sala","Centro",0,0,0,219,23000,5938,1303
"395","Conjunto Comercial/Sala","Centro",0,0,0,322,8500,4315,81
"396","Conjunto Comercial/Sala","São Cristóvão",1,1,0,25,800,427,471
